"Source:","/mnt/boron-vault/Projects/Giraffe/hardware/GFC/GFC/GFC.kicad_sch"
"Date:","Thu 01 Dec 2022 11:08:38 PM MST"
"Tool:","Eeschema 6.0.9-8da3e8f707~116~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","52"

"Individual Components:"

"31","2","R9, R10","4.7k","Device:R","","~","","","","","","","","","",""
"32","1","RV1","100k","Device:R_Potentiometer","","~","","","","","","","","","",""
"33","1","SW1","H/L_DIP_SW","Switch:SW_DIP_x01","","~","","","","","","","","","",""
"34","3","T1, T2, T3","DS18B20","Sensor_Temperature:DS18B20","Package_TO_SOT_THT:TO-92_Inline","http://datasheets.maximintegrated.com/en/ds/DS18B20.pdf","","","","","","","","","",""
"35","1","TX1","DRA818V","DRA818V:DRA818V","DORJI_DRA818V","","","","","DORJI","","","","1.23","","MANUFACTURER RECOMMENDATIONS"
"36","1","U1","MAX17048G+T10","MAX17048G_T10:MAX17048G+T10","MAX17048G_T10:SON50P200X200X80-9N","","","","","","","","","","",""
"37","1","U2","LTV-356T","Isolator:LTV-356T","Package_SO:SO-4_4.4x3.6mm_P2.54mm","http://optoelectronics.liteon.com/upload/download/DS70-2001-010/S_110_LTV-356T%2020140520.pdf","","","1.2V @ 20","","","","","","",""
"38","1","U3","BMP390L","BMP390L:BMP390L","XDCR_BMP390L","","","","","BOSCH","0.8 mm","","1.7","","BMP390L","Manufacturer Recommendation"
"39","1","U4","SAM-M8Q","RF_GPS:SAM-M8Q","RF_GPS:ublox_SAM-M8Q","https://www.u-blox.com/sites/default/files/SAM-M8Q_DataSheet_%28UBX-16012619%29.pdf","","","","","","","","","",""
"40","1","VR1","LM7805","Regulator_Linear:LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","","","","","","","","","",""
